date,suspect_positive,suspect_negative,suspect_test_pending,close_contacts,close_contacts_in_SG,close_contacts_in_SG_contacted,discharged,critical_condition,stable,death,daily_new_death,daily_new_discharged,daily_new_cases,currently_quarantined,completed_quarantine,updated_at,link
2020-3-8,150,,,,,,90,9,51,0,0,0,12,615,3034,,https://www.moh.gov.sg/news-highlights/details/twelve-new-cases-of-covid-19-infection-confirmed
2020-3-9,160,,,,,,93,10,57,0,0,3,10,724,3060,,https://www.moh.gov.sg/news-highlights/details/three-more-cases-discharged-ten-new-cases-of-covid-19-infection-confirmed
2020-3-10,166,,,,,,93,12,61,0,0,0,6,872,3132,,https://www.moh.gov.sg/news-highlights/details/six-new-cases-of-covid-19-infection-confirmed
2020-3-11,178,,,,,,96,9,73,0,0,3,12,981,3237,,https://www.moh.gov.sg/news-highlights/details/three-more-cases-discharged-twelve-new-cases-of-covid-19-infection-confirmed
2020-3-12,187,,,,,,96,9,82,0,0,0,9,1248,3302,,https://www.moh.gov.sg/news-highlights/details/nine-new-cases-of-covid-19-infection-confirmed
2020-3-13,200,,,,,,97,11,92,0,0,1,13,1491,3419,,https://www.moh.gov.sg/news-highlights/details/one-more-case-discharged-thirteen-new-cases-of-covid-19-infection-confirmed-13Mar
2020-3-14,212,,,,,,105,14,93,0,0,8,12,1712,3532,,https://www.moh.gov.sg/news-highlights/details/eight-more-cases-discharged-twelve-new-cases-of-covid-19-infection-confirmed
2020-3-15,226,,,,,,105,13,108,0,0,0,14,1817,3655,,https://www.moh.gov.sg/news-highlights/details/fourteen-new-cases-of-covid-19-infection-confirmed
2020-3-16,243,,,,,,109,13,121,0,0,4,17,1951,3760,,https://www.moh.gov.sg/news-highlights/details/four-more-cases-discharged-seventeen-new-cases-of-covid-19-infection-confirmed
2020-3-17,266,,,,,,114,14,138,0,0,5,23,2062,3877,,https://www.moh.gov.sg/news-highlights/details/five-more-cases-discharged-23-new-cases-of-covid-19-infection-confirmed
2020-3-18,313,,,,,,117,15,181,0,0,3,47,2221,4029,,https://www.moh.gov.sg/news-highlights/details/three-more-cases-discharged-47-new-cases-of-covid-19-infection-confirmed
2020-3-19,345,,,,,,124,15,206,0,0,7,32,2273,4301,,https://www.moh.gov.sg/news-highlights/details/seven-more-cases-discharged-32-new-cases-of-covid-19-infection-confirmed
2020-3-20,385,,,,,,131,16,238,0,0,7,40,2437,4628,,https://www.moh.gov.sg/news-highlights/details/seven-more-cases-discharged-40-new-cases-of-covid-19-infection-confirmed
2020-3-21,432,,,,,,140,14,276,2,2,9,47,2587,4957,,https://www.moh.gov.sg/news-highlights/details/nine-more-cases-discharged-47-new-cases-of-covid-19-infection-confirmed
2020-3-22,455,,,,,,144,14,295,2,0,4,23,2310,5647,,https://www.moh.gov.sg/news-highlights/details/four-more-cases-discharged-23-new-cases-of-covid-19-infection-confirmed
2020-3-23,509,,,,,,152,15,340,2,0,8,54,2529,5822,,https://www.moh.gov.sg/news-highlights/details/eight-more-cases-discharged-54-new-cases-of-covid-19-infection-confirmed
2020-3-24,558,,,,,,155,17,384,2,0,3,49,2803,6019,,https://www.moh.gov.sg/news-highlights/details/three-more-cases-discharged-49-new-cases-of-covid-19-infection-confirmed
2020-3-25,631,,,,,,160,17,452,2,0,5,73,2643,6287,,https://www.moh.gov.sg/news-highlights/details/five-more-cases-discharged-73-new-cases-of-covid-19-infection-confirmed
2020-3-26,683,,,,,,172,18,491,2,0,12,53,3216,6555,,https://www.moh.gov.sg/news-highlights/details/12-more-cases-discharged-52-new-cases-of-covid-19-infection-confirmed
2020-3-27,732,,,,,,183,17,530,2,0,11,49,3330,7016,,https://www.moh.gov.sg/news-highlights/details/11-more-cases-discharged-49-new-cases-of-covid-19-infection-confirmed
2020-3-28,802,,,,,,198,19,583,2,0,15,70,3640,7235,,https://www.moh.gov.sg/news-highlights/details/15-more-cases-discharged-70-new-cases-of-covid-19-infection-confirmed
2020-3-29,844,,,,,,212,19,613,3,1,14,42,4178,7601,,https://www.moh.gov.sg/news-highlights/details/14-more-cases-discharged-42-new-cases-of-covid-19-infection-confirmed
2020-3-30,879,,,,,,228,19,629,3,0,16,35,4737,8247,,https://www.moh.gov.sg/news-highlights/details/16-more-cases-discharged-35-new-cases-of-covid-19-infection-confirmed
2020-3-31,926,,,,,,240,22,661,3,0,12,47,4713,8739,,https://www.moh.gov.sg/news-highlights/details/12-more-cases-discharged-47-new-cases-of-covid-19-infection-confirmed
2020-4-1,1000,,,,,,245,24,728,3,0,5,74,4803,9247,,https://www.moh.gov.sg/news-highlights/details/five-more-cases-discharged-74-new-cases-of-covid-19-infection-confirmed
2020-4-2,1049,,,,,,266,23,756,4,1,21,49,5261,9691,,https://www.moh.gov.sg/news-highlights/details/21-more-cases-discharged-49-new-cases-of-covid-19-infection-confirmed
2020-4-3,1114,,,,,,282,25,802,5,1,16,65,5007,10435,,https://www.moh.gov.sg/news-highlights/details/16-more-cases-discharged-65-new-cases-of-covid-19-infection-confirmed
2020-4-4,1189,,,,,,297,26,860,6,1,15,75,5984,10926,,https://www.moh.gov.sg/news-highlights/details/15-more-cases-discharged-75-more-cases-of-covid-19-infection-confirmed
2020-4-5,1309,,,,,,320,25,958,6,0,23,120,5995,11350,,https://www.moh.gov.sg/news-highlights/details/23-more-cases-discharged-120-new-cases-of-covid-19-infection-confirmed
2020-4-6,1375,,,,,,344,25,1000,6,0,24,66,5618,11995,,https://www.moh.gov.sg/news-highlights/details/24-more-cases-discharged-66-new-cases-of-covid-19-infection-confirmed
2020-4-7,1481,,,,,,377,29,1069,6,0,33,106,4618,13201,,https://www.moh.gov.sg/news-highlights/details/33-more-cases-discharged-106-new-cases-of-covid-19-infection-confirmed
2020-4-8,1623,,,,,,406,29,1182,6,0,29,142,5665,13779,,https://www.moh.gov.sg/news-highlights/details/29-more-cases-discharged-142-new-cases-of-covid-19-infection-confirmed
2020-4-9,1910,,,,,,460,29,1415,6,0,54,287,5642,14366,,https://www.moh.gov.sg/news-highlights/details/54-more-cases-discharged-287-new-cases-of-covid-19-infection-confirmed
2020-4-10,2108,,,,,,492,32,1577,7,1,32,198,7723,14951,,https://www.moh.gov.sg/news-highlights/details/32-more-cases-discharged-198-new-cases-of-covid-19-infection-confirmed
2020-4-11,2299,,,,,,527,31,1733,8,1,35,191,10757,15432,,https://www.moh.gov.sg/news-highlights/details/35-more-cases-discharged-191-new-cases-of-covid-19-infection-confirmed
2020-4-12,2532,,,,,,559,31,1934,8,0,32,233,12088,16052,,https://www.moh.gov.sg/news-highlights/details/32-more-cases-discharged-233-new-cases-of-covid-19-infection-confirmed
2020-4-13,2918,,,,,,585,29,2295,9,1,26,386,11583,16750,,https://www.moh.gov.sg/news-highlights/details/26-more-cases-discharged-386-new-cases-of-covid-19-infection-confirmed
2020-4-14,3252,,,,,,610,28,2604,10,1,25,334,12797,17849,,https://www.moh.gov.sg/news-highlights/details/25-more-cases-discharged-334-new-cases-of-covid-19-infection-confirmed
2020-4-15,3699,,,,,,651,26,3012,10,0,41,447,,,,https://www.moh.gov.sg/news-highlights/details/41-more-cases-discharged-447-new-cases-of-covid-19-infection-confirmed
2020-4-16,4427,,,,,,682,23,3712,10,0,31,728,,,,https://www.moh.gov.sg/news-highlights/details/31-more-cases-discharged-728-new-cases-of-covid-19-infection-confirmed
2020-4-17,5050,,,,,,707,22,4310,11,1,25,623,,,,https://www.moh.gov.sg/news-highlights/details/25-more-cases-discharged-623-new-cases-of-covid-19-infection-confirmed
2020-4-18,5992,,,,,,745,23,5213,11,0,38,942,,,,https://www.moh.gov.sg/news-highlights/details/38-more-cases-discharged-942-new-cases-of-covid-19-infection-confirmed
2020-4-19,6588,,,,,,771,22,5784,11,0,26,596,,,,https://www.moh.gov.sg/news-highlights/details/26-more-cases-discharged-596-new-cases-of-covid-19-infection-confirmed
2020-4-20,8014,,,,,,804,23,7176,11,0,33,1426,,,,https://www.moh.gov.sg/news-highlights/details/33-more-cases-discharged-1-426-new-cases-of-covid-19-infection-confirmed
2020-4-21,9125,,,,,,843,27,8253,11,0,39,1111,,,,https://www.moh.gov.sg/news-highlights/details/39-more-cases-discharged-1-111-new-cases-of-covid-19-infection-confirmed
2020-4-22,10141,,,,,,900,25,9213,12,1,57,1016,,,,
