name,value
总病例,6588
单日新病例,596
重症,22
病情稳定,-
治愈,771
境外输入,-
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：4月20日14:11PM（截至4月19日卫生部文告）
