name,value
总病例,17101
单日新病例,932
重症,23
病情稳定,-
治愈,1283
境外输入,571
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月2日00:18AM（截至5月1日卫生部文告）
