name,value
总病例,28343
单日新病例,305
重症,12
病情稳定,-
治愈,9850
境外输入,580
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月19日4:24PM（截至5月18日卫生部文告）
