name,value
总病例,18778
单日新病例,573
重症,25
病情稳定,-
治愈,1472
境外输入,571
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月4日10:20PM（截至5月4日卫生部文告）
