name,value
总病例,31616
单日新病例,548
重症,8
病情稳定,-
治愈,14891
境外输入,580
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月24日11:06PM（截至5月24日卫生部文告）
