name,value
总病例,32343
单日新病例,383
重症,8
病情稳定,-
治愈,16459
境外输入,580
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月26日11:00PM（截至5月26日卫生部文告）
