name,value
总病例,22460
单日新病例,753
重症,23
病情稳定,-
治愈,2311
境外输入,579
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月10日01:00AM（截至5月9日卫生部文告）
