name,value
总病例,26098
单日新病例,752
重症,20
病情稳定,-
治愈,5988
境外输入,580
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月15日0:43AM（截至5月14日卫生部文告）
