name,value
总病例,31068
单日新病例,642
重症,8
病情稳定,-
治愈,13897
境外输入,580
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月23日11:21PM（截至5月23日卫生部文告）
