name,value
总病例,33249
单日新病例,373
重症,7
病情稳定,-
治愈,18309
境外输入,580
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月29日00:23AM（截至5月28日卫生部文告）
