name,value
总病例,31960
单日新病例,344
重症,8
病情稳定,-
治愈,15753
境外输入,580
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月25日11:33PM（截至5月25日卫生部文告）
