name,value
总病例,28038
单日新病例,682
重症,16
病情稳定,-
治愈,9355
境外输入,580
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月17日11:52PM（截至5月17日卫生部文告）
