name,value
总病例,25346
单日新病例,675
重症,19
病情稳定,-
治愈,4824
境外输入,580
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月14日9:40AM（截至5月13日卫生部文告）
