name,value
总病例,15641
单日新病例,690
重症,21
病情稳定,-
治愈,1203
境外输入,571
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：4月29日11:01PM（截至4月29日卫生部文告）
