name,value
总病例,35292
单日新病例,408
重症,7
病情稳定,-
治愈,22481
境外输入,580
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新*：6月2日8:10AM（截至6月1日卫生部文告）
