name,value
总病例,16169
单日新病例,528
重症,22
病情稳定,-
治愈,1259
境外输入,571
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月1日00:05AM（截至4月30日卫生部文告）
