name,value
总病例,23336
单日新病例,876
重症,22
病情稳定,-
治愈,2736
境外输入,580
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月11日00:42AM（截至5月10日卫生部文告）
