name,value
总病例,20939
单日新病例,741
重症,19
病情稳定,-
治愈,1727
境外输入,579
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月8日0:02AM（截至5月7日卫生部文告）
