name,value
总病例,14423
单日新病例,799
重症,20
病情稳定,-
治愈,1108
境外输入,571
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：4月28日1:40AM（截至4月27日卫生部文告）
