name,value
总病例,20198
单日新病例,788
重症,23
病情稳定,-
治愈,1649
境外输入,579
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月7日00:50AM（截至5月6日卫生部文告）
