name,value
总病例,13624
单日新病例,931
重症,22
病情稳定,-
治愈,1078
境外输入,571
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：4月26日11:49PM（截至4月26日卫生部文告）
