name,value
总病例,12693
单日新病例,618
重症,24
病情稳定,-
治愈,1020
境外输入,569
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：4月25日23:44PM（截至4月25日卫生部文告）
