name,value
总病例,19410
单日新病例,632
重症,24
病情稳定,-
治愈,1534
境外输入,571
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月5日11:09PM（截至5月5日卫生部文告）
