name,value
总病例,29364
单日新病例,570
重症,11
病情稳定,-
治愈,11222
境外输入,580
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月21日0:10AM（截至5月20日卫生部文告）
