name,value
总病例,9125
单日新病例,1111
重症,27
病情稳定,-
治愈,834
境外输入,569
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：4月21日11:15PM（截至4月21日卫生部文告）
