name,value
总病例,24671
单日新病例,884
重症,20
病情稳定,-
治愈,3866
境外输入,580
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月12日11:26PM（截至5月12日卫生部文告）
