name,value
总病例,30426
单日新病例,614
重症,8
病情稳定,-
治愈,12970
境外输入,580
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月22日11:55PM（截至5月22日卫生部文告）
