name,value
总病例,-
单日新病例,334
重症,28
病情稳定,-
治愈,610
境外输入,-
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：4月15日13:37PM（截至4月14日卫生部文告）
