name,value
总病例,10141
单日新病例,1016
重症,25
病情稳定,-
治愈,891
境外输入,569
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：4月23日2:21PM（截至4月22日卫生部文告）
