name,value
总病例,26891
单日新病例,793
重症,18
病情稳定,-
治愈,7263
境外输入,580
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月15日11:51PM（截至5月15日卫生部文告）
