name,value
总病例,-
单日新病例,942
重症,23
病情稳定,-
治愈,745
境外输入,-
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：4月18日23:49AM（截至4月18日卫生部文告）
