name,value
总病例,27356
单日新病例,465
重症,16
病情稳定,-
治愈,8357
境外输入,580
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月17日00:11AM（截至5月16日卫生部文告）
