name,value
总病例,33860
单日新病例,611
重症,8
病情稳定,-
治愈,19646
境外输入,580
本地感染,-
感染源仍在调查中,-
感染群总结,
最后编辑时间,最后更新：5月30日00:19AM（截至5月29日卫生部文告）
