dt,Country,Region,Deaths,CumulativeDeaths,Confirm,CumulativeConfirm
2020-06-20,AF,EMRO,0,548,419,28297
2020-06-21,AF,EMRO,33,581,536,28833
2020-06-22,AF,EMRO,17,598,310,29143
2020-06-23,AF,EMRO,20,618,338,29481
2020-06-24,AF,EMRO,21,639,159,29640
2020-06-25,AF,EMRO,36,675,535,30175
2020-06-26,AF,EMRO,5,680,85,30260
2020-06-27,AF,EMRO,23,703,356,30616
2020-06-28,AF,EMRO,26,729,351,30967
2020-06-29,AF,EMRO,4,733,271,31238
2020-06-30,AF,EMRO,0,733,0,31238
2020-07-01,AF,EMRO,41,774,524,31762
2020-07-02,AF,EMRO,33,807,260,32022
2020-07-03,AF,EMRO,12,819,302,32324
2020-07-04,AF,EMRO,7,826,348,32672
2020-07-05,AF,EMRO,38,864,279,32951
2020-07-06,AF,EMRO,23,887,113,33064
2020-07-07,AF,EMRO,33,920,320,33384
2020-07-08,AF,EMRO,16,936,210,33594
2020-07-09,AF,EMRO,1,937,59,33653
2020-07-10,AF,EMRO,34,971,541,34194
2020-07-11,AF,EMRO,4,975,157,34351
2020-07-12,AF,EMRO,35,1010,100,34451
2020-07-13,AF,EMRO,0,1010,0,34451
2020-07-14,AF,EMRO,35,1045,289,34740
2020-07-15,AF,EMRO,49,1094,200,34940
2020-07-16,AF,EMRO,19,1113,130,35070
2020-07-17,AF,EMRO,34,1147,159,35229
2020-07-18,AF,EMRO,0,1147,60,35289
2020-07-19,AF,EMRO,34,1181,186,35475
2020-07-20,AF,EMRO,2,1183,34,35509
2020-07-21,AF,EMRO,1,1184,106,35615
2020-07-22,AF,EMRO,6,1190,112,35727
2020-07-23,AF,EMRO,21,1211,188,35915
2020-07-24,AF,EMRO,14,1225,66,35981
2020-07-25,AF,EMRO,21,1246,55,36036
2020-07-26,AF,EMRO,13,1259,121,36157
2020-03-09,AL,EURO,0,0,2,2
2020-03-10,AL,EURO,0,0,4,6
2020-03-11,AL,EURO,0,0,4,10
2020-03-12,AL,EURO,0,0,13,23
2020-03-13,AL,EURO,1,1,10,33
2020-03-14,AL,EURO,0,1,5,38
2020-03-15,AL,EURO,0,1,4,42
2020-03-16,AL,EURO,0,1,9,51
2020-03-17,AL,EURO,0,1,4,55
2020-03-18,AL,EURO,1,2,4,59
2020-03-19,AL,EURO,0,2,11,70
2020-03-20,AL,EURO,0,2,0,70
2020-03-21,AL,EURO,0,2,6,76
2020-03-22,AL,EURO,0,2,0,76
2020-03-23,AL,EURO,0,2,13,89
2020-03-24,AL,EURO,2,4,34,123
2020-03-25,AL,EURO,1,5,23,146
2020-03-26,AL,EURO,0,5,28,174
2020-03-27,AL,EURO,3,8,12,186
2020-03-28,AL,EURO,1,9,11,197
2020-03-29,AL,EURO,1,10,15,212
2020-03-30,AL,EURO,0,10,11,223
2020-03-31,AL,EURO,1,11,0,223
2020-04-01,AL,EURO,2,13,20,243
2020-04-02,AL,EURO,2,15,34,277
2020-04-03,AL,EURO,1,16,0,277
2020-04-04,AL,EURO,1,17,56,333
2020-04-05,AL,EURO,1,18,0,333
2020-04-06,AL,EURO,3,21,44,377
2020-04-07,AL,EURO,1,22,0,377
2020-04-08,AL,EURO,0,22,23,400
2020-04-09,AL,EURO,0,22,9,409
2020-04-10,AL,EURO,1,23,7,416
2020-04-11,AL,EURO,0,23,0,416
2020-04-12,AL,EURO,0,23,30,446
2020-04-13,AL,EURO,0,23,0,446
2020-04-14,AL,EURO,0,23,29,475
2020-04-15,AL,EURO,1,24,0,475
2020-04-16,AL,EURO,1,25,19,494
2020-04-17,AL,EURO,1,26,24,518
2020-04-18,AL,EURO,0,26,30,548
2020-04-19,AL,EURO,0,26,0,548
2020-04-20,AL,EURO,0,26,14,562
2020-04-21,AL,EURO,0,26,47,609
2020-04-22,AL,EURO,0,26,25,634
2020-04-23,AL,EURO,1,27,0,634
2020-04-24,AL,EURO,0,27,44,678
2020-04-25,AL,EURO,0,27,0,678
2020-04-26,AL,EURO,0,27,34,712
2020-04-27,AL,EURO,1,28,14,726
2020-04-28,AL,EURO,0,28,10,736
2020-04-29,AL,EURO,2,30,30,766
2020-04-30,AL,EURO,1,31,7,773
2020-05-01,AL,EURO,0,31,0,773
2020-05-02,AL,EURO,0,31,16,789
2020-05-03,AL,EURO,0,31,6,795
2020-05-04,AL,EURO,0,31,8,803
2020-05-05,AL,EURO,0,31,17,820
2020-05-06,AL,EURO,0,31,12,832
2020-05-07,AL,EURO,0,31,0,832
2020-05-08,AL,EURO,0,31,18,850
2020-05-09,AL,EURO,0,31,6,856
2020-05-10,AL,EURO,0,31,12,868
2020-05-11,AL,EURO,0,31,0,868
2020-05-12,AL,EURO,0,31,4,872
2020-05-13,AL,EURO,0,31,4,876
2020-05-14,AL,EURO,0,31,4,880
2020-05-15,AL,EURO,0,31,18,898
2020-05-16,AL,EURO,0,31,35,933
2020-05-17,AL,EURO,0,31,13,946
2020-05-18,AL,EURO,0,31,2,948
2020-05-19,AL,EURO,0,31,0,948
2020-05-20,AL,EURO,0,31,16,964
2020-05-21,AL,EURO,0,31,5,969
2020-05-22,AL,EURO,0,31,0,969
2020-05-23,AL,EURO,0,31,12,981
2020-05-24,AL,EURO,1,32,8,989
2020-05-25,AL,EURO,0,32,15,1004
2020-05-26,AL,EURO,1,33,25,1029
2020-05-27,AL,EURO,0,33,21,1050
2020-05-28,AL,EURO,0,33,26,1076
2020-05-29,AL,EURO,0,33,23,1099
2020-05-30,AL,EURO,0,33,23,1122
2020-05-31,AL,EURO,0,33,14,1136
2020-06-01,AL,EURO,0,33,7,1143
2020-06-02,AL,EURO,0,33,21,1164
2020-06-03,AL,EURO,0,33,12,1176
2020-06-04,AL,EURO,0,33,21,1197
2020-06-05,AL,EURO,0,33,15,1212
2020-06-06,AL,EURO,1,34,20,1232
2020-06-07,AL,EURO,0,34,14,1246
2020-06-08,AL,EURO,0,34,17,1263
2020-06-09,AL,EURO,0,34,36,1299
2020-06-10,AL,EURO,0,34,42,1341
2020-06-11,AL,EURO,0,34,44,1385
2020-06-12,AL,EURO,2,36,31,1416
2020-06-13,AL,EURO,0,36,48,1464
2020-06-14,AL,EURO,0,36,57,1521
2020-06-15,AL,EURO,0,36,69,1590
2020-06-16,AL,EURO,1,37,82,1672
2020-06-17,AL,EURO,1,38,50,1722
2020-06-18,AL,EURO,1,39,66,1788
2020-06-19,AL,EURO,3,42,50,1838
2020-06-20,AL,EURO,0,42,0,1838
2020-06-21,AL,EURO,1,43,53,1891
2020-06-22,AL,EURO,1,44,104,1995
2020-06-23,AL,EURO,1,45,52,2047
2020-06-24,AL,EURO,2,47,67,2114
2020-06-25,AL,EURO,1,48,78,2192
2020-06-26,AL,EURO,3,51,77,2269
2020-06-27,AL,EURO,2,53,61,2330
2020-06-28,AL,EURO,2,55,72,2402
2020-06-29,AL,EURO,3,58,64,2466
2020-06-30,AL,EURO,4,62,69,2535
2020-07-01,AL,EURO,3,65,45,2580
2020-07-02,AL,EURO,4,69,82,2662
2020-07-03,AL,EURO,3,72,90,2752
2020-07-04,AL,EURO,2,74,67,2819
2020-07-05,AL,EURO,2,76,74,2893
2020-07-06,AL,EURO,3,79,71,2964
2020-07-07,AL,EURO,2,81,74,3038
2020-07-08,AL,EURO,2,83,68,3106
2020-07-09,AL,EURO,0,83,82,3188
2020-07-10,AL,EURO,2,85,90,3278
2020-07-11,AL,EURO,4,89,93,3371
2020-07-12,AL,EURO,0,89,0,3371
2020-07-13,AL,EURO,6,95,200,3571
2020-07-14,AL,EURO,2,97,96,3667
2020-07-15,AL,EURO,4,101,85,3752
2020-07-16,AL,EURO,3,104,99,3851
2020-07-17,AL,EURO,3,107,55,3906
2020-07-18,AL,EURO,0,107,0,3906
2020-07-19,AL,EURO,4,111,102,4008
2020-07-20,AL,EURO,1,112,82,4090
2020-07-21,AL,EURO,1,113,81,4171
2020-07-22,AL,EURO,4,117,119,4290
2020-07-23,AL,EURO,3,120,68,4358
2020-07-24,AL,EURO,3,123,108,4466
2020-07-25,AL,EURO,5,128,104,4570
2020-07-26,AL,EURO,0,128,0,4570
2020-02-25,DZ,AFRO,0,0,1,1
2020-02-26,DZ,AFRO,0,0,0,1
2020-02-27,DZ,AFRO,0,0,0,1
2020-02-28,DZ,AFRO,0,0,0,1
2020-02-29,DZ,AFRO,0,0,0,1
2020-03-01,DZ,AFRO,0,0,0,1
2020-03-02,DZ,AFRO,0,0,2,3
2020-03-03,DZ,AFRO,0,0,2,5
2020-03-04,DZ,AFRO,0,0,7,12
2020-03-05,DZ,AFRO,0,0,0,12
2020-03-06,DZ,AFRO,0,0,5,17
2020-03-07,DZ,AFRO,0,0,0,17
2020-03-08,DZ,AFRO,0,0,0,17
2020-03-09,DZ,AFRO,0,0,3,20
2020-03-10,DZ,AFRO,0,0,0,20
2020-03-11,DZ,AFRO,0,0,0,20
2020-03-12,DZ,AFRO,1,1,5,25
2020-03-13,DZ,AFRO,0,1,0,25
2020-03-14,DZ,AFRO,1,2,12,37
2020-03-15,DZ,AFRO,1,3,12,49
2020-03-16,DZ,AFRO,1,4,0,49
2020-03-17,DZ,AFRO,0,4,11,60
2020-03-18,DZ,AFRO,2,6,12,72
2020-03-19,DZ,AFRO,1,7,10,82
2020-03-20,DZ,AFRO,3,10,12,94
2020-03-21,DZ,AFRO,5,15,0,94
2020-03-22,DZ,AFRO,0,15,45,139
2020-03-23,DZ,AFRO,2,17,62,201
2020-03-24,DZ,AFRO,0,17,30,231
2020-03-25,DZ,AFRO,0,17,33,264
2020-03-26,DZ,AFRO,0,17,0,264
2020-03-27,DZ,AFRO,4,21,41,305
2020-03-28,DZ,AFRO,4,25,62,367
2020-03-29,DZ,AFRO,1,26,42,409
2020-03-30,DZ,AFRO,3,29,45,454
2020-03-31,DZ,AFRO,2,31,57,511
2020-04-01,DZ,AFRO,4,35,73,584
2020-04-02,DZ,AFRO,23,58,263,847
2020-04-03,DZ,AFRO,25,83,139,986
2020-04-04,DZ,AFRO,22,105,185,1171
2020-04-05,DZ,AFRO,25,130,80,1251
2020-04-06,DZ,AFRO,0,130,0,1251
2020-04-07,DZ,AFRO,43,173,172,1423
2020-04-08,DZ,AFRO,21,194,45,1468
2020-04-09,DZ,AFRO,11,205,104,1572
2020-04-10,DZ,AFRO,30,235,94,1666
2020-04-11,DZ,AFRO,21,256,95,1761
2020-04-12,DZ,AFRO,19,275,64,1825
2020-04-13,DZ,AFRO,18,293,89,1914
2020-04-14,DZ,AFRO,20,313,69,1983
2020-04-15,DZ,AFRO,13,326,87,2070
2020-04-16,DZ,AFRO,10,336,90,2160
2020-04-17,DZ,AFRO,12,348,108,2268
2020-04-18,DZ,AFRO,16,364,150,2418
2020-04-19,DZ,AFRO,3,367,116,2534
